,name,width,height,mean_hue,mean_saturation,mean_value,mean_entropy,edge_sum
46,140,147,100,0.5189581707876585,0.2868385286537921,0.7402822462318261,4.526998307229991,0.571393431134422
47,141,147,100,0.1463061055762157,0.3009157598208238,0.8980891023075898,4.323933837071131,0.41788672370655067
48,142,147,100,0.184758185462232,0.2597003050853209,0.9032463652127518,3.6751741921864687,0.38267623722373756
49,143,147,100,0.31933315146954494,0.25209133103163317,0.8212917166866746,4.227950272882588,0.5278804988831403
50,144,147,100,0.3720730164931623,0.32156196664583564,0.6352415632919836,5.045148805972375,0.6332730331711411
51,145,147,100,0.3036237474916188,0.4884305018445435,0.32378498065893024,4.6638209247249485,0.4663032961498489
52,146,147,100,0.33264792412141947,0.6728948218484309,0.36180899026277175,4.204002004509504,0.5737847918139164
53,147,147,100,0.3934530302520326,0.30154713587657234,0.6945194077631053,4.894958476593826,0.5693035217247625
54,148,147,100,0.21938559424746887,0.3508134374474148,0.23457436307856475,3.30037429006221,0.18544318336407473
55,149,147,100,0.41881944286839895,0.46017322953088513,0.6304225690276111,4.568003133133923,0.6503264869512962
56,15,99,99,0.5269243681690416,0.2763737941525554,0.8575187405846944,3.1712071030717226,0.2642582909769073
57,150,147,100,0.3707667094969591,0.47645688458929836,0.6770268107242896,4.8476641272772545,0.6374630311822089
58,151,147,100,0.11261773303432406,0.28523197181481363,0.42296118447378955,4.375859789369212,0.34114362843792007
59,152,147,100,0.0864949849347084,0.1290060769252401,0.8721317860477525,3.9329293042358575,0.4667145883185408
60,153,147,100,0.12500572467090615,0.22888115567653408,0.7252474323062559,5.058775291248427,0.5894640240931733
61,154,147,100,0.3533456749460139,0.16251279379719774,0.8108598105909032,3.301472656643281,0.28825805329986626
62,155,147,100,0.38659339576562524,0.26586469492077053,0.5619826597305588,5.1462804231740815,0.7396668535999352
63,156,147,100,0.27530159659876996,0.46751106746817256,0.45440229425103384,5.1594766712094735,0.734119373484486
64,157,147,100,0.35317438184280037,0.45882836502081165,0.2757881819394425,4.82059439515279,0.5576655926982004
65,158,147,100,0.43719123120531866,0.5337645439199904,0.6045655595571563,4.265062096643878,0.5743051236075195
66,159,147,100,0.5305093797993874,0.4197447567868533,0.5381712685074029,3.2548806405154123,0.4359580922981703
67,160,147,100,0.19590541117170768,0.6276948423288989,0.7129291716686675,5.3050006186326195,0.7279738091233103
68,161,147,100,0.2523809398025985,0.5703842275184149,0.4876329198346005,5.2583585572324765,0.8399735180841615
69,162,147,100,0.2568409935452522,0.29617790368654057,0.40157796451914096,4.827011775376633,0.44845986164845797
70,163,147,100,0.14976367940559718,0.4135054122007254,0.5568851540616246,3.661502478492221,0.43645665602624534
71,164,147,100,0.17332338629504132,0.5727478256104879,0.48980899026277175,4.698718857042977,0.6686981176180928
72,165,147,100,0.19274905469646814,0.6416303189207294,0.5152164865946379,4.916705914187745,0.6213857693543721
73,166,147,100,0.3641545116984183,0.5141045602541917,0.47963958916900096,4.877640671855002,0.5754512168867763
74,167,147,100,0.3544196414534694,0.4445082491002293,0.8329022275576898,4.043451508100806,0.33945002723272893
75,168,147,100,0.39181993472050863,0.22907950669416213,0.8237903161264506,3.1777304753628974,0.34066210158367505
76,169,147,100,0.3829898007703538,0.1444996160561498,0.6037801787381618,4.720776519852841,0.44020689684494185
77,17,99,99,0.20805355094385236,0.5148136380225893,0.2913496221874118,4.029836151742683,0.47493796237954444
78,170,147,100,0.28970562134874756,0.44219951640541266,0.48242310257436305,5.315107012096519,0.6641127089379085
79,171,147,100,0.34948778777536976,0.3451795679859201,0.37315672935841004,4.997153165785251,0.5112862364275675
80,172,147,100,0.28209428662171376,0.3998788760727061,0.6786319861277844,4.339216731328306,0.5221854195950301
81,173,147,100,0.4469329930113768,0.35825193791812177,0.8000877684407097,3.297099152491293,0.3260460592707411
